,Aturan,Support XuY %,Support X %,Confidence %
111,"('Eggs',)=>Corn",18.0,41.0,44.0
112,"('Corn',)=>Ice cream",19.0,41.0,47.0
113,"('Ice cream',)=>Corn",19.0,41.0,47.0
114,"('Corn',)=>Kidney Beans",20.0,41.0,48.0
115,"('Kidney Beans',)=>Corn",20.0,41.0,48.0
116,"('Corn',)=>Milk",19.0,41.0,48.0
117,"('Milk',)=>Corn",19.0,41.0,47.0
118,"('Corn',)=>Nutmeg",18.0,40.0,45.0
119,"('Nutmeg',)=>Corn",18.0,41.0,44.0
120,"('Corn',)=>Onion",18.0,40.0,46.0
121,"('Onion',)=>Corn",18.0,41.0,45.0
122,"('Corn',)=>Sugar",19.0,41.0,46.0
123,"('Sugar',)=>Corn",19.0,41.0,46.0
124,"('Corn',)=>Unicorn",18.0,39.0,46.0
125,"('Unicorn',)=>Corn",18.0,41.0,43.0
126,"('Corn',)=>Yogurt",19.0,42.0,45.0
127,"('Yogurt',)=>Corn",19.0,41.0,47.0
128,"('Corn',)=>chocolate",19.0,42.0,46.0
129,"('chocolate',)=>Corn",19.0,41.0,47.0
130,"('Dill',)=>Eggs",16.0,38.0,41.0
131,"('Eggs',)=>Dill",16.0,40.0,39.0
132,"('Dill',)=>Ice cream",19.0,41.0,45.0
133,"('Ice cream',)=>Dill",19.0,40.0,46.0
134,"('Dill',)=>Kidney Beans",17.0,41.0,42.0
135,"('Kidney Beans',)=>Dill",17.0,40.0,43.0
136,"('Dill',)=>Milk",19.0,41.0,47.0
137,"('Milk',)=>Dill",19.0,40.0,48.0
138,"('Dill',)=>Nutmeg",17.0,40.0,43.0
139,"('Nutmeg',)=>Dill",17.0,40.0,43.0
140,"('Dill',)=>Onion",19.0,40.0,48.0
141,"('Onion',)=>Dill",19.0,40.0,48.0
142,"('Dill',)=>Sugar",18.0,41.0,44.0
143,"('Sugar',)=>Dill",18.0,40.0,45.0
144,"('Dill',)=>Unicorn",17.0,39.0,43.0
145,"('Unicorn',)=>Dill",17.0,40.0,42.0
146,"('Dill',)=>Yogurt",19.0,42.0,44.0
147,"('Yogurt',)=>Dill",19.0,40.0,46.0
148,"('Dill',)=>chocolate",20.0,42.0,47.0
149,"('chocolate',)=>Dill",20.0,40.0,50.0
150,"('Eggs',)=>Ice cream",16.0,41.0,38.0
151,"('Ice cream',)=>Eggs",16.0,38.0,41.0
152,"('Eggs',)=>Kidney Beans",17.0,41.0,41.0
153,"('Kidney Beans',)=>Eggs",17.0,38.0,44.0
154,"('Eggs',)=>Milk",18.0,41.0,43.0
155,"('Milk',)=>Eggs",18.0,38.0,46.0
156,"('Eggs',)=>Nutmeg",17.0,40.0,43.0
157,"('Nutmeg',)=>Eggs",17.0,38.0,45.0
158,"('Eggs',)=>Onion",17.0,40.0,43.0
159,"('Onion',)=>Eggs",17.0,38.0,45.0
160,"('Eggs',)=>Sugar",17.0,41.0,42.0
161,"('Sugar',)=>Eggs",17.0,38.0,44.0
162,"('Eggs',)=>Unicorn",17.0,39.0,43.0
163,"('Unicorn',)=>Eggs",17.0,38.0,44.0
164,"('Eggs',)=>Yogurt",19.0,42.0,44.0
165,"('Yogurt',)=>Eggs",19.0,38.0,48.0
166,"('Eggs',)=>chocolate",18.0,42.0,43.0
167,"('chocolate',)=>Eggs",18.0,38.0,47.0
168,"('Ice cream',)=>Kidney Beans",20.0,41.0,48.0
169,"('Kidney Beans',)=>Ice cream",20.0,41.0,48.0
170,"('Ice cream',)=>Milk",18.0,41.0,44.0
171,"('Milk',)=>Ice cream",18.0,41.0,43.0
172,"('Ice cream',)=>Nutmeg",19.0,40.0,47.0
173,"('Nutmeg',)=>Ice cream",19.0,41.0,46.0
174,"('Ice cream',)=>Onion",19.0,40.0,48.0
175,"('Onion',)=>Ice cream",19.0,41.0,47.0
176,"('Ice cream',)=>Sugar",20.0,41.0,48.0
177,"('Sugar',)=>Ice cream",20.0,41.0,48.0
178,"('Ice cream',)=>Unicorn",19.0,39.0,48.0
179,"('Unicorn',)=>Ice cream",19.0,41.0,45.0
180,"('Ice cream',)=>Yogurt",18.0,42.0,43.0
181,"('Yogurt',)=>Ice cream",18.0,41.0,44.0
182,"('Ice cream',)=>chocolate",20.0,42.0,48.0
183,"('chocolate',)=>Ice cream",20.0,41.0,49.0
184,"('Kidney Beans',)=>Milk",20.0,41.0,49.0
185,"('Milk',)=>Kidney Beans",20.0,41.0,49.0
186,"('Kidney Beans',)=>Nutmeg",19.0,40.0,47.0
187,"('Nutmeg',)=>Kidney Beans",19.0,41.0,46.0
188,"('Kidney Beans',)=>Onion",17.0,40.0,42.0
189,"('Onion',)=>Kidney Beans",17.0,41.0,42.0
190,"('Kidney Beans',)=>Sugar",19.0,41.0,46.0
191,"('Sugar',)=>Kidney Beans",19.0,41.0,46.0
192,"('Kidney Beans',)=>Unicorn",18.0,39.0,47.0
193,"('Unicorn',)=>Kidney Beans",18.0,41.0,45.0
194,"('Kidney Beans',)=>Yogurt",19.0,42.0,46.0
195,"('Yogurt',)=>Kidney Beans",19.0,41.0,48.0
196,"('Kidney Beans',)=>chocolate",19.0,42.0,45.0
197,"('chocolate',)=>Kidney Beans",19.0,41.0,47.0
198,"('Milk',)=>Nutmeg",18.0,40.0,45.0
199,"('Nutmeg',)=>Milk",18.0,41.0,45.0
200,"('Milk',)=>Onion",18.0,40.0,45.0
201,"('Onion',)=>Milk",18.0,41.0,45.0
202,"('Milk',)=>Sugar",19.0,41.0,45.0
203,"('Sugar',)=>Milk",19.0,41.0,46.0
204,"('Milk',)=>Unicorn",18.0,39.0,47.0
205,"('Unicorn',)=>Milk",18.0,41.0,45.0
206,"('Milk',)=>Yogurt",19.0,42.0,45.0
207,"('Yogurt',)=>Milk",19.0,41.0,47.0
208,"('Milk',)=>chocolate",21.0,42.0,50.0
209,"('chocolate',)=>Milk",21.0,41.0,52.0
210,"('Nutmeg',)=>Onion",20.0,40.0,48.0
211,"('Onion',)=>Nutmeg",20.0,40.0,49.0
212,"('Nutmeg',)=>Sugar",19.0,41.0,47.0
213,"('Sugar',)=>Nutmeg",19.0,40.0,48.0
214,"('Nutmeg',)=>Unicorn",17.0,39.0,42.0
215,"('Unicorn',)=>Nutmeg",17.0,40.0,41.0
216,"('Nutmeg',)=>Yogurt",19.0,42.0,46.0
217,"('Yogurt',)=>Nutmeg",19.0,40.0,48.0
218,"('Nutmeg',)=>chocolate",19.0,42.0,44.0
219,"('chocolate',)=>Nutmeg",19.0,40.0,46.0
220,"('Onion',)=>Sugar",19.0,41.0,46.0
221,"('Sugar',)=>Onion",19.0,40.0,47.0
222,"('Onion',)=>Unicorn",18.0,39.0,45.0
223,"('Unicorn',)=>Onion",18.0,40.0,43.0
224,"('Onion',)=>Yogurt",19.0,42.0,46.0
225,"('Yogurt',)=>Onion",19.0,40.0,48.0
226,"('Onion',)=>chocolate",20.0,42.0,47.0
227,"('chocolate',)=>Onion",20.0,40.0,49.0
228,"('Sugar',)=>Unicorn",18.0,39.0,47.0
229,"('Unicorn',)=>Sugar",18.0,41.0,44.0
230,"('Sugar',)=>Yogurt",19.0,42.0,45.0
231,"('Yogurt',)=>Sugar",19.0,41.0,47.0
232,"('Sugar',)=>chocolate",19.0,42.0,45.0
233,"('chocolate',)=>Sugar",19.0,41.0,46.0
